Dataset; #Training; %Training; %DefectTraining; %DefectTesting; Classifier; Balancing; FeatureSelection; TP; FP; TN; FN; Precision; Recall; ROC Area; Kappa
AVRO;1;0.4519774011299435;0.1125;0.18556701030927836;IBK;NO SAMPLING;Yes;79.0;8.0;10.0;0.0;0.9080459770114943;1.0;0.8354430379746836;0.6706281833616297
AVRO;1;0.4519774011299435;0.1125;0.18556701030927836;RandomForest;NO SAMPLING;Yes;158.0;26.0;10.0;0.0;0.8586956521739131;1.0;0.5838607594936709;0.3851779619697711
AVRO;1;0.4519774011299435;0.1125;0.18556701030927836;NaiveBayes;NO SAMPLING;Yes;237.0;44.0;10.0;0.0;0.8434163701067615;1.0;0.5802469135802469;0.27017783857729116
AVRO;1;0.4519774011299435;0.1125;0.18556701030927836;IBK;OVERSAMPLING;Yes;79.0;8.0;10.0;0.0;0.9080459770114943;1.0;0.8245428973277075;0.6706281833616297
AVRO;1;0.4519774011299435;0.1125;0.18556701030927836;RandomForest;OVERSAMPLING;Yes;158.0;26.0;10.0;0.0;0.8586956521739131;1.0;0.5811357243319268;0.3851779619697711
AVRO;1;0.4519774011299435;0.1125;0.18556701030927836;NaiveBayes;OVERSAMPLING;Yes;237.0;44.0;10.0;0.0;0.8434163701067615;1.0;0.5934911704953899;0.27017783857729116
AVRO;1;0.4519774011299435;0.1125;0.18556701030927836;IBK;UNDERSAMPLING;Yes;78.0;8.0;10.0;1.0;0.9069767441860465;0.9873417721518988;0.7510548523206751;0.6388084402151427
AVRO;1;0.4519774011299435;0.1125;0.18556701030927836;RandomForest;UNDERSAMPLING;Yes;156.0;24.0;12.0;2.0;0.8666666666666667;0.9873417721518988;0.669831223628692;0.4196962724344226
AVRO;1;0.4519774011299435;0.1125;0.18556701030927836;NaiveBayes;UNDERSAMPLING;Yes;235.0;41.0;13.0;2.0;0.8514492753623188;0.9915611814345991;0.6676433817784029;0.32211929140256784
AVRO;1;0.4519774011299435;0.1125;0.18556701030927836;IBK;SMOTE;Yes;79.0;8.0;10.0;0.0;0.9080459770114943;1.0;0.8354430379746836;0.6706281833616297
AVRO;1;0.4519774011299435;0.1125;0.18556701030927836;RandomForest;SMOTE;Yes;158.0;26.0;10.0;0.0;0.8586956521739131;1.0;0.7921940928270043;0.3851779619697711
AVRO;1;0.4519774011299435;0.1125;0.18556701030927836;NaiveBayes;SMOTE;Yes;237.0;34.0;20.0;0.0;0.8745387453874539;1.0;0.798796686982341;0.4893155775781975
AVRO;1;0.4519774011299435;0.1125;0.18556701030927836;IBK;NO SAMPLING;No;79.0;12.0;6.0;0.0;0.8681318681318682;1.0;0.6835443037974683;0.44886363636363624
AVRO;1;0.4519774011299435;0.1125;0.18556701030927836;RandomForest;NO SAMPLING;No;158.0;30.0;6.0;0.0;0.8404255319148937;1.0;0.7794479606188467;0.24572317262830473
AVRO;1;0.4519774011299435;0.1125;0.18556701030927836;NaiveBayes;NO SAMPLING;No;237.0;48.0;6.0;0.0;0.8315789473684211;1.0;0.7146819815596187;0.1691648822269807
AVRO;1;0.4519774011299435;0.1125;0.18556701030927836;IBK;OVERSAMPLING;No;79.0;11.0;7.0;0.0;0.8777777777777778;1.0;0.769690576652602;0.5089737689829726
AVRO;1;0.4519774011299435;0.1125;0.18556701030927836;RandomForest;OVERSAMPLING;No;158.0;29.0;7.0;0.0;0.8449197860962567;1.0;0.7677566807313643;0.28221485072722624
AVRO;1;0.4519774011299435;0.1125;0.18556701030927836;NaiveBayes;OVERSAMPLING;No;237.0;47.0;7.0;0.0;0.8345070422535211;1.0;0.6795593061415847;0.19523389232127122
AVRO;1;0.4519774011299435;0.1125;0.18556701030927836;IBK;UNDERSAMPLING;No;78.0;13.0;5.0;1.0;0.8571428571428571;0.9873417721518988;0.6325597749648383;0.35700757575757547
AVRO;1;0.4519774011299435;0.1125;0.18556701030927836;RandomForest;UNDERSAMPLING;No;157.0;30.0;6.0;1.0;0.839572192513369;0.9936708860759493;0.7216068917018285;0.2327124266394489
AVRO;1;0.4519774011299435;0.1125;0.18556701030927836;NaiveBayes;UNDERSAMPLING;No;233.0;47.0;7.0;4.0;0.8321428571428572;0.9831223628691983;0.6365057040162525;0.1628025046539177
AVRO;1;0.4519774011299435;0.1125;0.18556701030927836;IBK;SMOTE;No;79.0;11.0;7.0;0.0;0.8777777777777778;1.0;0.709915611814346;0.5089737689829726
AVRO;1;0.4519774011299435;0.1125;0.18556701030927836;RandomForest;SMOTE;No;158.0;29.0;7.0;0.0;0.8449197860962567;1.0;0.7834036568213784;0.28221485072722624
AVRO;1;0.4519774011299435;0.1125;0.18556701030927836;NaiveBayes;SMOTE;No;237.0;37.0;17.0;0.0;0.864963503649635;1.0;0.8112986404125645;0.42804780876494025
AVRO;2;0.7729257641921398;0.15254237288135594;0.3076923076923077;IBK;NO SAMPLING;Yes;36.0;4.0;12.0;0.0;0.9;1.0;0.9166666666666666;0.8059701492537314
AVRO;2;0.7729257641921398;0.15254237288135594;0.3076923076923077;RandomForest;NO SAMPLING;Yes;72.0;8.0;24.0;0.0;0.9;1.0;0.9303385416666666;0.8059701492537314
AVRO;2;0.7729257641921398;0.15254237288135594;0.3076923076923077;NaiveBayes;NO SAMPLING;Yes;108.0;12.0;36.0;0.0;0.9;1.0;0.9103009259259259;0.8059701492537314
AVRO;2;0.7729257641921398;0.15254237288135594;0.3076923076923077;IBK;OVERSAMPLING;Yes;36.0;4.0;12.0;0.0;0.9;1.0;0.8333333333333334;0.8059701492537314
AVRO;2;0.7729257641921398;0.15254237288135594;0.3076923076923077;RandomForest;OVERSAMPLING;Yes;72.0;8.0;24.0;0.0;0.9;1.0;0.8832465277777778;0.8059701492537314
AVRO;2;0.7729257641921398;0.15254237288135594;0.3076923076923077;NaiveBayes;OVERSAMPLING;Yes;108.0;11.0;37.0;0.0;0.907563025210084;1.0;0.8903356481481481;0.823238566131026
AVRO;2;0.7729257641921398;0.15254237288135594;0.3076923076923077;IBK;UNDERSAMPLING;Yes;35.0;2.0;14.0;1.0;0.9459459459459459;0.9722222222222222;0.9288194444444444;0.862190812720848
AVRO;2;0.7729257641921398;0.15254237288135594;0.3076923076923077;RandomForest;UNDERSAMPLING;Yes;68.0;14.0;18.0;4.0;0.8292682926829268;0.9444444444444444;0.9342447916666666;0.5551330798479087
AVRO;2;0.7729257641921398;0.15254237288135594;0.3076923076923077;NaiveBayes;UNDERSAMPLING;Yes;103.0;17.0;31.0;5.0;0.8583333333333333;0.9537037037037037;0.9224537037037037;0.644278606965174
AVRO;2;0.7729257641921398;0.15254237288135594;0.3076923076923077;IBK;SMOTE;Yes;36.0;4.0;12.0;0.0;0.9;1.0;0.9166666666666666;0.8059701492537314
AVRO;2;0.7729257641921398;0.15254237288135594;0.3076923076923077;RandomForest;SMOTE;Yes;72.0;8.0;24.0;0.0;0.9;1.0;0.9008246527777778;0.8059701492537314
AVRO;2;0.7729257641921398;0.15254237288135594;0.3076923076923077;NaiveBayes;SMOTE;Yes;108.0;12.0;36.0;0.0;0.9;1.0;0.9141589506172839;0.8059701492537314
AVRO;2;0.7729257641921398;0.15254237288135594;0.3076923076923077;IBK;NO SAMPLING;No;36.0;4.0;12.0;0.0;0.9;1.0;0.875;0.8059701492537314
AVRO;2;0.7729257641921398;0.15254237288135594;0.3076923076923077;RandomForest;NO SAMPLING;No;72.0;8.0;24.0;0.0;0.9;1.0;0.9112413194444444;0.8059701492537314
AVRO;2;0.7729257641921398;0.15254237288135594;0.3076923076923077;NaiveBayes;NO SAMPLING;No;108.0;12.0;36.0;0.0;0.9;1.0;0.9215856481481481;0.8059701492537314
AVRO;2;0.7729257641921398;0.15254237288135594;0.3076923076923077;IBK;OVERSAMPLING;No;36.0;4.0;12.0;0.0;0.9;1.0;0.8923611111111112;0.8059701492537314
AVRO;2;0.7729257641921398;0.15254237288135594;0.3076923076923077;RandomForest;OVERSAMPLING;No;72.0;11.0;21.0;0.0;0.8674698795180723;1.0;0.9010416666666666;0.7255278310940501
AVRO;2;0.7729257641921398;0.15254237288135594;0.3076923076923077;NaiveBayes;OVERSAMPLING;No;108.0;15.0;33.0;0.0;0.8780487804878049;1.0;0.8879243827160493;0.752851711026616
AVRO;2;0.7729257641921398;0.15254237288135594;0.3076923076923077;IBK;UNDERSAMPLING;No;20.0;1.0;15.0;16.0;0.9523809523809523;0.5555555555555556;0.7465277777777778;0.39118457300275494
AVRO;2;0.7729257641921398;0.15254237288135594;0.3076923076923077;RandomForest;UNDERSAMPLING;No;56.0;6.0;26.0;16.0;0.9032258064516129;0.7777777777777778;0.8025173611111112;0.5431309904153354
AVRO;2;0.7729257641921398;0.15254237288135594;0.3076923076923077;NaiveBayes;UNDERSAMPLING;No;92.0;10.0;38.0;16.0;0.9019607843137255;0.8518518518518519;0.8796296296296297;0.621923937360179
AVRO;2;0.7729257641921398;0.15254237288135594;0.3076923076923077;IBK;SMOTE;No;36.0;4.0;12.0;0.0;0.9;1.0;0.875;0.8059701492537314
AVRO;2;0.7729257641921398;0.15254237288135594;0.3076923076923077;RandomForest;SMOTE;No;72.0;8.0;24.0;0.0;0.9;1.0;0.9155815972222222;0.8059701492537314
AVRO;2;0.7729257641921398;0.15254237288135594;0.3076923076923077;NaiveBayes;SMOTE;No;108.0;12.0;36.0;0.0;0.9;1.0;0.9150270061728395;0.8059701492537314
AVRO;3;0.5240274599542334;0.18777292576419213;0.3076923076923077;IBK;NO SAMPLING;Yes;133.0;10.0;54.0;11.0;0.9300699300699301;0.9236111111111112;0.8993598090277778;0.7640449438202248
AVRO;3;0.5240274599542334;0.18777292576419213;0.3076923076923077;RandomForest;NO SAMPLING;Yes;267.0;20.0;108.0;21.0;0.9303135888501742;0.9270833333333334;0.9086642795138888;0.7691641403204851
AVRO;3;0.5240274599542334;0.18777292576419213;0.3076923076923077;NaiveBayes;NO SAMPLING;Yes;408.0;30.0;162.0;24.0;0.9315068493150684;0.9444444444444444;0.9128206983024691;0.7950963222416813
AVRO;3;0.5240274599542334;0.18777292576419213;0.3076923076923077;IBK;OVERSAMPLING;Yes;129.0;10.0;54.0;15.0;0.9280575539568345;0.8958333333333334;0.8900824652777778;0.723874256584537
AVRO;3;0.5240274599542334;0.18777292576419213;0.3076923076923077;RandomForest;OVERSAMPLING;Yes;257.0;20.0;108.0;31.0;0.927797833935018;0.8923611111111112;0.8908013237847222;0.7189487070792708
AVRO;3;0.5240274599542334;0.18777292576419213;0.3076923076923077;NaiveBayes;OVERSAMPLING;Yes;393.0;30.0;162.0;39.0;0.9290780141843972;0.9097222222222222;0.8941514756944444;0.7437874892887745
AVRO;3;0.5240274599542334;0.18777292576419213;0.3076923076923077;IBK;UNDERSAMPLING;Yes;102.0;6.0;58.0;42.0;0.9444444444444444;0.7083333333333334;0.7845594618055556;0.5315315315315317
AVRO;3;0.5240274599542334;0.18777292576419213;0.3076923076923077;RandomForest;UNDERSAMPLING;Yes;203.0;13.0;115.0;85.0;0.9398148148148148;0.7048611111111112;0.8725450303819444;0.5217717717717717
AVRO;3;0.5240274599542334;0.18777292576419213;0.3076923076923077;NaiveBayes;UNDERSAMPLING;Yes;339.0;23.0;169.0;93.0;0.93646408839779;0.7847222222222222;0.9014998070987654;0.603783499737257
AVRO;3;0.5240274599542334;0.18777292576419213;0.3076923076923077;IBK;SMOTE;Yes;129.0;10.0;54.0;15.0;0.9280575539568345;0.8958333333333334;0.8846028645833334;0.723874256584537
AVRO;3;0.5240274599542334;0.18777292576419213;0.3076923076923077;RandomForest;SMOTE;Yes;259.0;20.0;108.0;29.0;0.9283154121863799;0.8993055555555556;0.9063313802083334;0.7288207747977862
AVRO;3;0.5240274599542334;0.18777292576419213;0.3076923076923077;NaiveBayes;SMOTE;Yes;401.0;30.0;162.0;31.0;0.9303944315545244;0.9282407407407407;0.9142493730709876;0.7708754695174805
AVRO;3;0.5240274599542334;0.18777292576419213;0.3076923076923077;IBK;NO SAMPLING;No;136.0;12.0;52.0;8.0;0.918918918918919;0.9444444444444444;0.8856336805555556;0.7703180212014135
AVRO;3;0.5240274599542334;0.18777292576419213;0.3076923076923077;RandomForest;NO SAMPLING;No;278.0;22.0;106.0;10.0;0.9266666666666666;0.9652777777777778;0.8867051866319444;0.8146167557932266
AVRO;3;0.5240274599542334;0.18777292576419213;0.3076923076923077;NaiveBayes;NO SAMPLING;No;420.0;32.0;160.0;12.0;0.9292035398230089;0.9722222222222222;0.8988112461419753;0.8295589988081049
AVRO;3;0.5240274599542334;0.18777292576419213;0.3076923076923077;IBK;OVERSAMPLING;No;133.0;10.0;54.0;11.0;0.9300699300699301;0.9236111111111112;0.9016927083333334;0.7640449438202248
AVRO;3;0.5240274599542334;0.18777292576419213;0.3076923076923077;RandomForest;OVERSAMPLING;No;268.0;19.0;109.0;20.0;0.9337979094076655;0.9305555555555556;0.9007568359375;0.7804244261585102
AVRO;3;0.5240274599542334;0.18777292576419213;0.3076923076923077;NaiveBayes;OVERSAMPLING;No;395.0;29.0;163.0;37.0;0.9316037735849056;0.9143518518518519;0.9110182773919753;0.7545766590389017
AVRO;3;0.5240274599542334;0.18777292576419213;0.3076923076923077;IBK;UNDERSAMPLING;No;118.0;6.0;58.0;26.0;0.9516129032258065;0.8194444444444444;0.8628472222222222;0.6677316293929713
AVRO;3;0.5240274599542334;0.18777292576419213;0.3076923076923077;RandomForest;UNDERSAMPLING;No;241.0;15.0;113.0;47.0;0.94140625;0.8368055555555556;0.8889702690972222;0.6728896103896104
AVRO;3;0.5240274599542334;0.18777292576419213;0.3076923076923077;NaiveBayes;UNDERSAMPLING;No;366.0;25.0;167.0;66.0;0.9360613810741688;0.8472222222222222;0.9141227816358025;0.6768642447418737
AVRO;3;0.5240274599542334;0.18777292576419213;0.3076923076923077;IBK;SMOTE;No;132.0;12.0;52.0;12.0;0.9166666666666666;0.9166666666666666;0.8717447916666666;0.7291666666666665
AVRO;3;0.5240274599542334;0.18777292576419213;0.3076923076923077;RandomForest;SMOTE;No;275.0;22.0;106.0;13.0;0.9259259259259259;0.9548611111111112;0.8890245225694444;0.7985834440017706
AVRO;3;0.5240274599542334;0.18777292576419213;0.3076923076923077;NaiveBayes;SMOTE;No;418.0;32.0;160.0;14.0;0.9288888888888889;0.9675925925925926;0.9058159722222222;0.8223410576351754
AVRO;4;0.9646799116997793;0.2448512585812357;0.8125;IBK;NO SAMPLING;Yes;2.0;2.0;11.0;1.0;0.5;0.6666666666666666;0.9102564102564102;0.45454545454545453
AVRO;4;0.9646799116997793;0.2448512585812357;0.8125;RandomForest;NO SAMPLING;Yes;5.0;4.0;22.0;1.0;0.5555555555555556;0.8333333333333334;0.9198717948717948;0.5698924731182796
AVRO;4;0.9646799116997793;0.2448512585812357;0.8125;NaiveBayes;NO SAMPLING;Yes;8.0;6.0;33.0;1.0;0.5714285714285714;0.8888888888888888;0.9216524216524217;0.6056338028169013
AVRO;4;0.9646799116997793;0.2448512585812357;0.8125;IBK;OVERSAMPLING;Yes;2.0;2.0;11.0;1.0;0.5;0.6666666666666666;0.6410256410256411;0.45454545454545453
AVRO;4;0.9646799116997793;0.2448512585812357;0.8125;RandomForest;OVERSAMPLING;Yes;4.0;4.0;22.0;2.0;0.5;0.6666666666666666;0.7467948717948718;0.45454545454545453
AVRO;4;0.9646799116997793;0.2448512585812357;0.8125;NaiveBayes;OVERSAMPLING;Yes;7.0;5.0;34.0;2.0;0.5833333333333334;0.7777777777777778;0.7792022792022792;0.5757575757575757
AVRO;4;0.9646799116997793;0.2448512585812357;0.8125;IBK;UNDERSAMPLING;Yes;2.0;1.0;12.0;1.0;0.6666666666666666;0.6666666666666666;0.7948717948717948;0.5897435897435898
AVRO;4;0.9646799116997793;0.2448512585812357;0.8125;RandomForest;UNDERSAMPLING;Yes;4.0;2.0;24.0;2.0;0.6666666666666666;0.6666666666666666;0.8878205128205128;0.5897435897435898
AVRO;4;0.9646799116997793;0.2448512585812357;0.8125;NaiveBayes;UNDERSAMPLING;Yes;7.0;3.0;36.0;2.0;0.7;0.7777777777777778;0.9045584045584045;0.6721311475409838
AVRO;4;0.9646799116997793;0.2448512585812357;0.8125;IBK;SMOTE;Yes;2.0;2.0;11.0;1.0;0.5;0.6666666666666666;0.9102564102564102;0.45454545454545453
AVRO;4;0.9646799116997793;0.2448512585812357;0.8125;RandomForest;SMOTE;Yes;4.0;4.0;22.0;2.0;0.5;0.6666666666666666;0.9198717948717948;0.45454545454545453
AVRO;4;0.9646799116997793;0.2448512585812357;0.8125;NaiveBayes;SMOTE;Yes;7.0;6.0;33.0;2.0;0.5384615384615384;0.7777777777777778;0.9273504273504274;0.5328467153284673
AVRO;4;0.9646799116997793;0.2448512585812357;0.8125;IBK;NO SAMPLING;No;3.0;2.0;11.0;0.0;0.6;1.0;0.9230769230769231;0.673469387755102
AVRO;4;0.9646799116997793;0.2448512585812357;0.8125;RandomForest;NO SAMPLING;No;6.0;4.0;22.0;0.0;0.6;1.0;0.9166666666666666;0.673469387755102
AVRO;4;0.9646799116997793;0.2448512585812357;0.8125;NaiveBayes;NO SAMPLING;No;9.0;6.0;33.0;0.0;0.6;1.0;0.9344729344729344;0.673469387755102
AVRO;4;0.9646799116997793;0.2448512585812357;0.8125;IBK;OVERSAMPLING;No;3.0;2.0;11.0;0.0;0.6;1.0;0.8974358974358975;0.673469387755102
AVRO;4;0.9646799116997793;0.2448512585812357;0.8125;RandomForest;OVERSAMPLING;No;6.0;4.0;22.0;0.0;0.6;1.0;0.9198717948717948;0.673469387755102
AVRO;4;0.9646799116997793;0.2448512585812357;0.8125;NaiveBayes;OVERSAMPLING;No;9.0;6.0;33.0;0.0;0.6;1.0;0.9472934472934473;0.673469387755102
AVRO;4;0.9646799116997793;0.2448512585812357;0.8125;IBK;UNDERSAMPLING;No;2.0;2.0;11.0;1.0;0.5;0.6666666666666666;0.7564102564102564;0.45454545454545453
AVRO;4;0.9646799116997793;0.2448512585812357;0.8125;RandomForest;UNDERSAMPLING;No;5.0;4.0;22.0;1.0;0.5555555555555556;0.8333333333333334;0.7916666666666666;0.5698924731182796
AVRO;4;0.9646799116997793;0.2448512585812357;0.8125;NaiveBayes;UNDERSAMPLING;No;8.0;6.0;33.0;1.0;0.5714285714285714;0.8888888888888888;0.8504273504273504;0.6056338028169013
AVRO;4;0.9646799116997793;0.2448512585812357;0.8125;IBK;SMOTE;No;3.0;2.0;11.0;0.0;0.6;1.0;0.9230769230769231;0.673469387755102
AVRO;4;0.9646799116997793;0.2448512585812357;0.8125;RandomForest;SMOTE;No;6.0;4.0;22.0;0.0;0.6;1.0;0.9294871794871795;0.673469387755102
AVRO;4;0.9646799116997793;0.2448512585812357;0.8125;NaiveBayes;SMOTE;No;9.0;6.0;33.0;0.0;0.6;1.0;0.9401709401709402;0.673469387755102
AVRO;5;0.9912472647702407;0.26490066225165565;1.0;IBK;NO SAMPLING;Yes;0.0;0.0;4.0;0.0;NaN;NaN;NaN;1.0
AVRO;5;0.9912472647702407;0.26490066225165565;1.0;RandomForest;NO SAMPLING;Yes;0.0;0.0;8.0;0.0;NaN;NaN;NaN;1.0
AVRO;5;0.9912472647702407;0.26490066225165565;1.0;NaiveBayes;NO SAMPLING;Yes;0.0;0.0;12.0;0.0;NaN;NaN;NaN;1.0
AVRO;5;0.9912472647702407;0.26490066225165565;1.0;IBK;OVERSAMPLING;Yes;0.0;0.0;4.0;0.0;NaN;NaN;NaN;1.0
AVRO;5;0.9912472647702407;0.26490066225165565;1.0;RandomForest;OVERSAMPLING;Yes;0.0;0.0;8.0;0.0;NaN;NaN;NaN;1.0
AVRO;5;0.9912472647702407;0.26490066225165565;1.0;NaiveBayes;OVERSAMPLING;Yes;0.0;0.0;12.0;0.0;NaN;NaN;NaN;1.0
AVRO;5;0.9912472647702407;0.26490066225165565;1.0;IBK;UNDERSAMPLING;Yes;0.0;0.0;4.0;0.0;NaN;NaN;NaN;1.0
AVRO;5;0.9912472647702407;0.26490066225165565;1.0;RandomForest;UNDERSAMPLING;Yes;0.0;0.0;8.0;0.0;NaN;NaN;NaN;1.0
AVRO;5;0.9912472647702407;0.26490066225165565;1.0;NaiveBayes;UNDERSAMPLING;Yes;0.0;0.0;12.0;0.0;NaN;NaN;NaN;1.0
AVRO;5;0.9912472647702407;0.26490066225165565;1.0;IBK;SMOTE;Yes;0.0;0.0;4.0;0.0;NaN;NaN;NaN;1.0
AVRO;5;0.9912472647702407;0.26490066225165565;1.0;RandomForest;SMOTE;Yes;0.0;0.0;8.0;0.0;NaN;NaN;NaN;1.0
AVRO;5;0.9912472647702407;0.26490066225165565;1.0;NaiveBayes;SMOTE;Yes;0.0;0.0;12.0;0.0;NaN;NaN;NaN;1.0
AVRO;5;0.9912472647702407;0.26490066225165565;1.0;IBK;NO SAMPLING;No;0.0;0.0;4.0;0.0;NaN;NaN;NaN;1.0
AVRO;5;0.9912472647702407;0.26490066225165565;1.0;RandomForest;NO SAMPLING;No;0.0;0.0;8.0;0.0;NaN;NaN;NaN;1.0
AVRO;5;0.9912472647702407;0.26490066225165565;1.0;NaiveBayes;NO SAMPLING;No;0.0;0.0;12.0;0.0;NaN;NaN;NaN;1.0
AVRO;5;0.9912472647702407;0.26490066225165565;1.0;IBK;OVERSAMPLING;No;0.0;0.0;4.0;0.0;NaN;NaN;NaN;1.0
AVRO;5;0.9912472647702407;0.26490066225165565;1.0;RandomForest;OVERSAMPLING;No;0.0;0.0;8.0;0.0;NaN;NaN;NaN;1.0
AVRO;5;0.9912472647702407;0.26490066225165565;1.0;NaiveBayes;OVERSAMPLING;No;0.0;0.0;12.0;0.0;NaN;NaN;NaN;1.0
AVRO;5;0.9912472647702407;0.26490066225165565;1.0;IBK;UNDERSAMPLING;No;0.0;0.0;4.0;0.0;NaN;NaN;NaN;1.0
AVRO;5;0.9912472647702407;0.26490066225165565;1.0;RandomForest;UNDERSAMPLING;No;0.0;0.0;8.0;0.0;NaN;NaN;NaN;1.0
AVRO;5;0.9912472647702407;0.26490066225165565;1.0;NaiveBayes;UNDERSAMPLING;No;0.0;0.0;12.0;0.0;NaN;NaN;NaN;1.0
AVRO;5;0.9912472647702407;0.26490066225165565;1.0;IBK;SMOTE;No;0.0;0.0;4.0;0.0;NaN;NaN;NaN;1.0
AVRO;5;0.9912472647702407;0.26490066225165565;1.0;RandomForest;SMOTE;No;0.0;0.0;8.0;0.0;NaN;NaN;NaN;1.0
AVRO;5;0.9912472647702407;0.26490066225165565;1.0;NaiveBayes;SMOTE;No;0.0;0.0;12.0;0.0;NaN;NaN;NaN;1.0
AVRO;6;0.9158316633266533;0.2713347921225383;0.11904761904761904;IBK;NO SAMPLING;Yes;30.0;3.0;2.0;7.0;0.9090909090909091;0.8108108108108109;0.6864864864864865;0.15662650602409617
AVRO;6;0.9158316633266533;0.2713347921225383;0.11904761904761904;RandomForest;NO SAMPLING;Yes;64.0;7.0;3.0;10.0;0.9014084507042254;0.8648648648648649;0.6945945945945946;0.14593301435406708
AVRO;6;0.9158316633266533;0.2713347921225383;0.11904761904761904;NaiveBayes;NO SAMPLING;Yes;101.0;12.0;3.0;10.0;0.8938053097345132;0.9099099099099099;0.7147147147147147;0.11663479923518134
AVRO;6;0.9158316633266533;0.2713347921225383;0.11904761904761904;IBK;OVERSAMPLING;Yes;28.0;3.0;2.0;9.0;0.9032258064516129;0.7567567567567568;0.6513513513513514;0.10320284697508887
AVRO;6;0.9158316633266533;0.2713347921225383;0.11904761904761904;RandomForest;OVERSAMPLING;Yes;57.0;6.0;4.0;17.0;0.9047619047619048;0.7702702702702703;0.6351351351351351;0.11538461538461534
AVRO;6;0.9158316633266533;0.2713347921225383;0.11904761904761904;NaiveBayes;OVERSAMPLING;Yes;94.0;11.0;4.0;17.0;0.8952380952380953;0.8468468468468469;0.6846846846846847;0.0967741935483872
AVRO;6;0.9158316633266533;0.2713347921225383;0.11904761904761904;IBK;UNDERSAMPLING;Yes;28.0;3.0;2.0;9.0;0.9032258064516129;0.7567567567567568;0.6486486486486487;0.10320284697508887
AVRO;6;0.9158316633266533;0.2713347921225383;0.11904761904761904;RandomForest;UNDERSAMPLING;Yes;56.0;6.0;4.0;18.0;0.9032258064516129;0.7567567567567568;0.6716216216216216;0.10320284697508887
AVRO;6;0.9158316633266533;0.2713347921225383;0.11904761904761904;NaiveBayes;UNDERSAMPLING;Yes;92.0;7.0;8.0;19.0;0.9292929292929293;0.8288288288288288;0.7126126126126127;0.2690763052208833
AVRO;6;0.9158316633266533;0.2713347921225383;0.11904761904761904;IBK;SMOTE;Yes;30.0;3.0;2.0;7.0;0.9090909090909091;0.8108108108108109;0.6864864864864865;0.15662650602409617
AVRO;6;0.9158316633266533;0.2713347921225383;0.11904761904761904;RandomForest;SMOTE;Yes;61.0;6.0;4.0;13.0;0.9104477611940298;0.8243243243243243;0.6959459459459459;0.17219917012448155
