@relation AVRO
@attribute Size numeric
@attribute LocTouched numeric
@attribute LocAdded numeric
@attribute MaxLocAdded numeric
@attribute AvgLocAdded numeric
@attribute nAuth numeric
@attribute nFix numeric
@attribute nR numeric
@attribute ChgSetSize numeric
@attribute Buggy {Si, No}
@data
8,72,48,24,16,1,0,3,154,No
8,87,56,28,14,1,0,4,178,No
309,1115,727,300,55.92,1,0,13,244,Si
691,2101,1413,451,88.31,1,0,16,249,Si
8,72,48,24,16,1,0,3,154,No
200,674,446,208,74.33,1,0,6,215,No
170,585,389,183,64.83,1,0,6,215,No
15,96,64,32,21.33,1,0,3,154,No
19,108,72,36,24,1,0,3,154,No
19,112,74,37,18.5,1,0,4,178,No
262,819,549,250,54.9,1,0,10,249,No
445,1748,1105,265,73.67,1,0,15,266,No
235,707,480,164,53.33,1,0,9,244,No
11,84,56,28,18.67,1,0,3,154,No
40,201,129,57,21.5,1,0,6,216,No
37,188,121,53,24.2,1,0,5,192,No
19,124,81,39,16.2,1,0,5,198,No
17,115,75,36,15,1,0,5,198,No
436,905,688,418,137.6,1,0,5,173,No
387,710,565,383,141.25,1,0,4,171,No
23,136,88,44,22,1,0,4,178,No
69,258,172,69,28.67,1,0,6,174,No
70,263,175,87,43.75,1,0,4,171,No
1,164,82,41,16.4,1,0,5,172,No
1,176,88,44,17.6,1,0,5,172,No
166,493,338,105,42.25,1,0,8,229,No
157,500,337,124,37.44,1,0,9,209,No
93,412,261,118,52.2,1,0,5,191,No
76,267,180,87,45,1,0,4,167,No
25,122,82,40,20.5,1,0,4,167,No
227,694,469,194,52.11,1,0,9,236,Si
101,428,273,92,34.13,1,0,8,226,No
50,248,158,61,19.75,1,0,8,232,Si
68,263,174,77,34.8,1,0,5,192,Si
107,400,262,118,32.75,1,0,8,243,Si
88,287,196,84,49,1,0,4,156,No
11,90,59,28,14.75,1,0,4,156,No
248,781,525,225,43.75,1,1,12,231,Si
31,558,303,125,37.88,1,0,8,212,No
19,154,95,43,15.83,1,0,6,199,No
11,92,60,30,15,1,0,4,178,No
39,174,115,53,28.75,1,0,4,172,Si
24,151,96,46,24,1,0,4,178,No
63,240,160,80,53.33,1,0,3,154,No
121,424,281,128,35.13,1,0,8,218,No
125,487,314,128,34.89,2,0,9,207,No
125,451,296,134,49.33,1,0,6,202,No
176,526,359,144,39.89,1,0,9,246,No
23,189,114,50,19,1,0,6,181,No
151,483,325,113,27.08,2,0,12,230,No
39,227,141,63,23.5,1,0,6,181,Si
215,629,431,139,26.94,1,0,16,276,No
136,544,272,136,68,1,0,4,53,No
112,448,224,112,56,1,0,4,1,No
62,178,128,73,32,1,0,4,54,No
19,35,35,35,35,1,0,1,11,No
25,39,39,39,39,1,0,1,11,No
25,39,39,39,39,1,0,1,11,No
7,24,24,24,24,1,0,1,14,No
13,30,30,30,30,1,0,1,14,No
11,28,28,28,28,1,0,1,14,No
23,40,40,40,40,1,0,1,3,No
47,64,64,64,64,1,0,1,3,No
600,622,622,622,622,1,0,1,17,No
451,481,474,450,158,1,0,3,41,No
271,310,305,305,152.5,1,0,2,33,No
217,282,266,266,133,1,0,2,33,No
600,10,5,5,5,1,0,1,20,No
258,276,46,36,23,1,0,2,33,No
242,221,38,29,19,1,0,2,33,No
62,20,10,10,10,1,0,1,20,No
364,383,383,383,383,1,0,1,13,No
193,223,223,223,223,1,0,1,13,No
458,489,489,489,489,1,0,1,13,No
338,358,358,358,358,1,0,1,13,No
205,225,225,225,225,1,0,1,13,No
206,222,222,205,111,1,0,2,17,No
344,360,360,343,180,1,0,2,17,No
390,406,406,389,203,1,0,2,17,No
631,647,647,630,323.5,1,0,2,17,No
287,125,93,40,23.25,1,1,4,92,Si
98,22,11,6,3.67,1,0,3,70,No
46,62,30,16,4.29,1,1,7,127,Si
139,150,125,69,31.25,1,1,4,46,Si
445,21,11,5,2.75,1,0,4,105,No
174,101,20,11,6.67,1,0,3,50,No
250,17,5,3,1.67,1,0,3,85,No
381,433,416,397,138.67,1,0,3,88,No
223,255,248,239,82.67,1,0,3,88,Si
57,75,75,74,37.5,1,0,2,83,No
52,70,70,52,23.33,1,0,3,84,No
364,383,0,0,0,1,0,1,23,No
173,157,69,68,34.5,1,0,2,83,No
458,489,0,0,0,1,0,1,23,No
210,280,76,75,38,1,0,2,83,No
183,188,83,82,41.5,1,0,2,83,No
83,103,103,102,51.5,1,0,2,83,Si
125,149,147,144,73.5,1,0,2,83,Si
318,340,339,337,113,1,0,3,88,No
74,99,97,94,48.5,1,0,2,83,No
363,383,383,382,191.5,1,0,2,83,Si
120,141,140,138,46.67,1,0,3,88,No
276,93,76,37,19,1,0,4,64,Si
206,222,0,0,0,1,0,1,23,No
197,533,193,153,96.5,1,0,2,37,No
390,406,0,0,0,1,0,1,23,No
828,677,437,363,218.5,1,0,2,37,No
125,8,4,4,4,1,0,1,14,No
123,8,3,3,3,1,0,1,14,No
176,30,15,9,7.5,1,0,2,25,No
23,4,2,2,2,1,0,1,14,No
151,16,8,7,4,1,0,2,25,Si
62,20,10,10,10,1,0,1,14,No
467,74,45,45,45,1,0,1,14,No
104,120,120,103,60,1,0,2,15,No
19,35,0,0,0,1,0,1,14,No
25,39,0,0,0,1,0,1,14,No
25,39,0,0,0,1,0,1,14,No
8,1,1,1,1,1,0,1,60,No
8,1,1,1,1,1,0,1,60,No
311,7,5,3,2.5,1,1,2,61,Si
694,70,37,23,9.25,1,1,4,70,Si
8,1,1,1,1,1,0,1,60,No
200,3,2,2,2,1,0,1,60,No
183,16,15,13,7.5,1,0,2,65,No
17,5,4,4,4,1,0,1,60,No
19,11,6,3,3,1,0,2,67,No
19,3,2,1,1,1,0,2,82,No
411,178,164,155,54.67,1,0,3,86,Si
7,2,1,1,1,1,0,1,60,No
7,10,3,2,1.5,1,0,2,82,No
40,1,1,1,1,1,0,1,60,No
37,1,1,1,1,1,0,1,60,No
271,5,3,2,1.5,1,0,2,62,No
217,5,3,3,3,1,0,1,60,No
605,10,8,5,4,1,0,2,61,No
17,1,1,1,1,1,0,1,60,No
241,2,1,1,1,1,0,1,60,No
23,1,1,1,1,1,0,1,60,No
69,3,2,2,2,1,0,1,60,No
73,10,7,7,7,1,0,1,60,No
214,59,54,53,27,1,0,2,71,No
204,68,58,40,29,1,0,2,71,No
93,3,2,2,2,1,0,1,60,No
77,6,4,4,4,1,0,1,60,No
25,5,3,3,3,1,0,1,60,No
17,13,10,6,5,1,0,2,67,No
96,39,34,18,8.5,1,1,4,100,Si
111,9,7,5,2.33,1,1,3,89,Si
88,5,3,3,3,1,0,1,60,No
11,1,1,1,1,1,0,1,60,No
270,27,23,12,5.75,1,0,4,82,Si
30,4,2,1,1,1,0,2,67,No
18,4,2,1,1,1,0,2,67,No
23,3,2,1,1,1,0,2,82,No
11,1,1,1,1,1,0,1,60,No
10,6,3,2,1.5,1,0,2,82,No
54,18,13,12,6.5,1,0,2,82,No
63,47,36,13,7.2,1,1,5,107,Si
23,4,2,1,1,1,0,2,67,No
70,17,12,8,6,1,0,2,82,No
127,149,149,149,149,1,0,1,11,No
53,74,74,74,74,1,0,1,11,No
152,176,176,176,176,1,0,1,11,No
26,42,42,42,42,1,0,1,11,No
29,45,45,45,45,1,0,1,11,No
30,46,46,46,46,1,0,1,11,No
62,85,85,85,85,1,0,1,2,No
141,163,163,163,163,1,0,1,1,No
37,57,55,35,18.33,1,1,3,13,Si
31,49,48,33,24,1,0,2,6,No
160,190,183,142,61,1,1,3,34,Si
175,370,281,190,93.67,1,0,3,27,No
206,264,243,160,81,1,0,3,27,No
9,27,27,27,27,1,0,1,22,No
53,83,77,67,38.5,1,0,2,26,No
122,3,2,2,2,1,0,1,22,No
424,13,13,12,6.5,1,1,2,2,Si
61,79,79,79,79,1,0,1,11,No
67,84,84,84,84,1,0,1,11,No
127,36,18,18,18,1,0,1,11,No
53,8,4,4,4,1,0,1,11,No
213,21,10,8,5,1,0,2,35,No
191,33,10,8,5,1,0,2,35,No
12,29,29,29,29,1,0,1,11,No
93,4,2,2,2,1,0,1,11,No
79,16,9,9,9,1,0,1,11,No
152,36,17,17,17,1,0,1,11,No
26,42,42,42,42,1,0,1,11,No
152,18,13,7,4.33,1,1,3,36,Si
221,4,1,1,1,1,1,1,4,Si
82,3,1,1,1,1,1,1,4,Si
146,21,21,21,21,1,1,1,4,Si
362,1,0,0,0,1,1,1,4,Si
279,9,6,6,6,1,1,1,4,Si
448,7,5,5,5,1,0,1,0,No
160,64,61,58,30.5,1,1,2,24,Si
292,326,174,171,58,2,2,3,25,Si
324,17,15,15,15,1,0,1,24,Si
741,130,88,88,88,1,0,1,24,Si
338,90,70,70,70,1,0,1,24,Si
81,31,7,7,7,1,0,1,24,No
54,8,8,8,8,1,0,1,24,No
94,4,1,1,1,1,0,1,24,No
82,33,2,2,2,1,0,1,24,No
62,32,3,3,3,1,0,1,24,No
11,4,2,2,2,1,0,1,24,No
77,29,28,28,28,1,0,1,24,No
28,12,5,5,5,1,0,1,24,No
22,8,6,6,6,1,0,1,24,No
63,2,1,1,1,1,0,1,24,No
23,2,1,1,1,1,0,1,24,No
209,25,14,14,14,1,0,1,24,No
125,4,2,2,2,1,0,1,24,No
23,39,39,39,39,1,0,1,24,No
82,98,98,98,98,1,0,1,24,No
176,4,2,2,2,1,0,1,24,No
128,19,4,4,4,1,0,1,24,Si
100,122,120,116,40,1,0,3,6,No
94,110,110,110,110,1,0,1,2,No
123,139,0,0,0,1,0,1,2,No
42,111,85,76,42.5,1,0,2,4,No
25,41,41,41,41,1,0,1,2,No
20,38,38,38,38,1,1,1,2,Si
208,30,19,19,19,1,1,1,2,Si
176,25,9,9,9,1,1,1,2,Si
8,1,1,1,1,1,0,1,2,No
8,1,1,1,1,1,0,1,2,No
38,56,56,56,56,1,0,1,2,No
879,418,278,111,23.17,2,3,12,50,Si
130,214,68,45,22.67,1,0,3,35,No
38,8,3,3,1.5,1,0,2,38,No
596,9,0,0,0,1,0,1,23,No
94,6,0,0,0,1,0,1,23,No
35,8,3,2,1.5,1,0,2,36,No
31,2,1,1,1,1,0,1,23,No
62,4,2,2,2,1,0,1,23,No
124,20,11,9,5.5,1,0,2,32,No
99,13,9,9,9,1,0,1,23,No
224,45,30,21,10,1,1,3,42,Si
186,115,88,40,17.6,1,1,5,55,Si
169,131,41,21,10.25,1,0,4,60,No
75,9,1,1,1,1,0,1,23,No
181,14,9,5,3,1,0,3,37,No
24,1,0,0,0,1,0,1,23,No
159,10,5,5,5,1,0,1,23,No
402,376,325,147,29.55,1,4,11,79,Si
379,160,149,38,16.56,2,1,9,42,Si
62,18,9,9,9,1,0,1,23,No
459,32,12,12,12,1,0,1,23,No
195,8,3,3,3,1,0,1,23,No
104,14,7,7,7,1,0,1,23,No
833,23,14,13,7,1,0,2,24,No
396,720,389,160,35.36,1,4,11,71,Si
403,558,336,181,33.6,1,2,10,38,Si
225,287,264,73,52.8,1,1,5,14,Si
62,105,93,58,13.29,1,0,7,27,No
32,63,57,34,14.25,1,0,4,11,No
214,252,145,84,48.33,1,0,3,14,No
19,2,2,2,2,1,0,1,3,No
37,6,3,3,3,1,0,1,15,No
127,189,117,55,13,1,1,9,73,Si
106,115,83,42,11.86,1,1,7,64,Si
58,52,8,6,4,1,0,2,28,No
30,78,13,9,4.33,1,0,3,41,No
17,2,1,1,1,1,0,1,15,No
237,242,201,162,28.71,1,2,7,51,Si
71,63,53,48,10.6,1,0,5,50,No
40,26,22,20,11,1,0,2,28,No
10,1,0,0,0,1,0,1,15,No
89,52,39,37,19.5,1,0,2,28,No
91,80,74,64,24.67,1,0,3,41,No
472,145,96,58,19.2,1,2,5,34,Si
26,9,6,6,6,1,1,1,6,Si
31,41,9,6,4.5,1,2,2,7,Si
357,45,39,27,13,1,1,3,13,Si
458,70,40,9,8,1,1,5,34,Si
180,12,9,7,3,1,1,3,26,Si
138,338,169,169,84.5,1,0,2,17,No
95,76,74,74,74,1,0,1,13,No
237,8,2,2,2,1,0,1,2,No
26,3,2,2,2,1,0,1,2,No
59,91,84,59,21,1,0,4,10,No
11,3,3,3,3,1,0,1,7,No
11,3,3,3,3,1,0,1,7,No
193,14,8,4,2.67,1,0,3,23,No
17,47,43,37,21.5,1,0,2,8,No
14,34,34,34,34,1,1,1,7,Si
406,71,48,30,24,1,0,2,15,No
67,84,84,84,84,1,0,1,10,No
37,54,54,54,54,1,0,1,10,No
61,82,80,79,40,1,0,2,19,No
65,86,84,82,42,1,0,2,19,No
60,77,77,77,77,1,0,1,10,No
40,57,57,39,28.5,1,0,2,15,No
15,32,32,32,32,1,0,1,10,No
164,192,186,181,93,1,0,2,19,No
47,66,66,66,66,1,0,1,10,No
121,140,140,140,140,1,0,1,5,No
80,98,98,98,98,1,0,1,5,No
42,58,58,58,58,1,0,1,5,No
128,161,159,155,79.5,1,1,2,3,Si
59,78,78,78,78,1,0,1,3,No
135,8,8,8,8,1,0,1,3,No
212,13,6,5,3,1,0,2,16,No
155,3,3,3,3,1,0,1,3,No
19,3,1,1,1,1,0,1,9,No
157,177,177,177,177,1,0,1,9,No
35,52,52,52,52,1,0,1,1,No
48,64,64,64,64,1,0,1,1,No
93,2,1,1,1,1,1,1,1,Si
80,3,2,2,2,1,1,1,1,Si
13,14,10,10,10,1,0,1,6,No
26,42,42,42,42,1,0,1,8,No
34,54,54,54,54,1,0,1,9,No
181,205,205,205,205,1,0,1,9,No
99,121,121,121,121,1,0,1,9,No
84,107,107,107,107,1,0,1,9,No
57,74,74,74,74,1,0,1,9,No
18,35,35,35,35,1,0,1,9,No
81,103,103,103,103,1,0,1,9,No
78,94,94,94,94,1,0,1,9,No
164,180,180,180,180,1,0,1,9,No
64,80,80,80,80,1,0,1,9,No
20,36,36,36,36,1,1,1,1,Si
1040,292,233,196,33.29,3,2,7,78,Si
11,0,0,0,0,1,0,1,50,No
11,0,0,0,0,1,0,1,50,No
357,10,5,3,1.67,2,0,3,74,No
8,0,0,0,0,1,0,1,50,No
20,9,5,4,1.67,2,0,3,57,No
148,126,73,66,24.33,1,0,3,80,No
198,207,149,66,24.83,2,1,6,98,Si
351,218,177,76,29.5,2,0,6,82,No
19,0,0,0,0,1,0,1,50,No
19,0,0,0,0,1,0,1,50,No
19,0,0,0,0,1,0,1,50,No
9,0,0,0,0,1,0,1,50,No
474,62,32,16,5.33,3,3,6,82,Si
337,275,77,63,15.4,3,1,5,88,Si
179,9,4,2,1.33,2,1,3,79,Si
7,0,0,0,0,1,0,1,50,No
10,9,3,3,1.5,1,1,2,62,Si
38,0,0,0,0,1,0,1,50,Si
37,0,0,0,0,1,0,1,50,Si
170,61,28,27,9.33,2,0,3,90,No
956,1012,847,813,211.75,2,0,4,74,No
219,4,3,3,1.5,2,0,2,52,No
598,18,10,10,5,2,1,2,51,Si
19,0,0,0,0,1,0,1,50,No
17,0,0,0,0,1,0,1,50,No
257,9,8,8,4,1,0,2,73,No
237,0,0,0,0,1,0,1,50,No
408,16,9,2,1.5,2,1,6,107,Si
227,28,17,12,2.83,2,0,6,92,No
57,0,0,0,0,1,0,1,50,No
52,0,0,0,0,1,0,1,50,No
200,185,105,49,9.55,2,1,11,134,Si
212,12,7,2,1.17,2,1,6,94,Si
183,8,4,1,0.8,2,0,5,86,No
80,24,11,4,2.2,2,0,5,101,No
162,216,121,34,20.17,2,1,6,94,Si
428,202,156,113,15.6,2,2,10,114,Si
75,21,11,3,1.83,2,1,6,94,Si
530,266,217,166,21.7,2,1,10,105,Si
118,20,9,4,1.8,2,0,5,101,No
23,0,0,0,0,1,0,1,50,No
69,0,0,0,0,1,0,1,50,No
73,0,0,0,0,1,0,1,50,No
62,3,2,2,1,1,0,2,54,No
68,3,2,2,1,1,0,2,54,No
42,0,0,0,0,1,0,1,50,No
95,7,4,4,2,1,0,2,54,No
35,0,0,0,0,1,0,1,50,No
135,0,0,0,0,1,0,1,50,Si
53,0,0,0,0,1,0,1,50,No
402,33,16,14,5.33,2,1,3,33,Si
59,2,1,1,1,1,0,1,4,No
80,20,18,16,9,2,0,2,6,No
32,2,1,1,1,1,0,1,4,No
164,4,2,2,2,1,0,1,4,No
600,245,214,90,35.67,3,2,6,44,Si
224,92,65,55,10.83,3,0,6,43,No
555,1054,814,220,81.4,2,0,10,73,No
118,136,93,32,18.6,2,2,5,24,Si
130,2,1,1,1,1,1,1,3,Si
189,41,33,21,8.25,2,1,4,26,Si
47,2,1,1,1,1,1,1,3,Si
42,30,15,12,7.5,2,1,2,6,Si
58,3,1,1,1,1,0,1,2,No
19,35,35,35,35,1,0,1,2,No
56,44,40,15,10,2,2,4,31,Si
17,80,65,39,16.25,2,0,4,48,No
59,76,76,70,38,2,0,2,18,No
74,223,184,104,36.8,2,0,5,53,No
68,85,85,85,85,1,0,1,11,No
42,114,89,57,17.8,2,0,5,53,No
81,26,21,21,21,1,0,1,11,No
47,64,64,64,64,1,0,1,11,No
42,58,58,58,58,1,0,1,11,No
59,77,76,61,38,1,0,2,12,No
39,55,55,49,27.5,1,2,2,1,Si
165,6,6,6,6,1,1,1,1,Si
77,93,93,93,93,1,0,1,4,No
9,26,26,26,26,1,1,1,12,Si
194,43,0,0,0,1,1,1,12,Si
71,2,1,1,1,1,1,1,12,Si
26,2,1,1,1,1,1,1,12,Si
8,6,2,2,2,1,1,1,12,Si
36,7,6,6,6,1,1,1,12,Si
25,41,41,41,41,1,1,1,12,Si
836,7,5,3,2.5,2,1,2,25,Si
395,33,16,12,8,1,0,2,24,No
127,4,2,2,2,1,0,1,7,No
180,16,8,4,4,1,0,2,24,Si
157,56,46,46,46,1,0,1,3,No
105,51,38,38,38,1,0,1,3,No
54,14,14,14,14,1,0,1,3,No
94,3,2,2,2,1,0,1,4,No
81,3,2,2,2,1,0,1,4,No
75,5,5,5,5,1,0,1,1,Si
16,32,32,32,32,1,0,1,1,No
88,5,2,2,2,1,0,1,17,Si
90,9,4,4,4,1,0,1,17,Si
124,4,2,2,2,1,0,1,17,No
409,41,24,23,12,2,0,2,40,No
36,52,52,52,52,1,0,1,0,No
138,154,154,154,154,1,0,1,7,No
208,232,232,232,232,1,0,1,23,No
180,203,203,203,203,1,0,1,23,No
213,7,4,4,4,1,0,1,23,Si
194,5,3,3,3,1,0,1,23,Si
68,5,3,3,3,1,0,1,23,No
386,348,336,336,336,1,0,1,23,No
459,2,1,1,1,1,0,1,23,No
138,5,1,1,1,1,0,1,23,No
195,4,2,2,2,1,0,1,23,Si
52,14,14,14,14,1,1,1,10,Si
39,6,4,4,4,1,1,1,10,Si
135,6,3,3,3,1,1,1,10,Si
213,6,3,3,3,1,1,1,10,Si
189,19,7,7,7,1,1,1,10,Si
91,7,5,5,5,1,1,1,10,Si
85,11,3,3,3,1,1,1,10,Si
77,2,2,2,2,1,1,1,10,Si
5,22,22,22,22,1,1,1,10,Si
179,5,2,2,2,1,1,1,10,Si
107,16,14,14,14,1,1,1,10,Si
14,33,33,33,33,1,0,1,3,No
403,24,16,16,16,1,0,1,3,Si
195,3,2,2,2,1,0,1,3,No
