Dataset; #Training; %Training; %DefectTraining; %DefectTesting; Classifier; Balancing; FeatureSelection; TP; FP; TN; FN; Precision; Recall; ROC Area; Kappa
BOOKKEEPER;1;0.61178863;0.33222592;0.6806283;IBK;NO SAMPLING;Yes;46.0;13.0;117.0;15.0;0.7796610169491526;0.7540983606557377;0.8241488020176545;0.6598397150489759
BOOKKEEPER;1;0.61178863;0.33222592;0.6806283;RandomForest;NO SAMPLING;Yes;89.0;20.0;240.0;33.0;0.8165137614678899;0.7295081967213115;0.862468474148802;0.6715764202056905
BOOKKEEPER;1;0.61178863;0.33222592;0.6806283;NaiveBayes;NO SAMPLING;Yes;91.0;23.0;367.0;92.0;0.7982456140350878;0.4972677595628415;0.890444164214656;0.4870267871739182
BOOKKEEPER;1;0.61178863;0.33222592;0.6806283;IBK;OVERSAMPLING;Yes;50.0;29.0;101.0;11.0;0.6329113924050633;0.819672131147541;0.8154476670870113;0.5532686235528008
BOOKKEEPER;1;0.61178863;0.33222592;0.6806283;RandomForest;OVERSAMPLING;Yes;87.0;35.0;225.0;35.0;0.7131147540983607;0.7131147540983607;0.846374527112232;0.578499369482976
BOOKKEEPER;1;0.61178863;0.33222592;0.6806283;NaiveBayes;OVERSAMPLING;Yes;144.0;50.0;340.0;39.0;0.7422680412371134;0.7868852459016393;0.8702466022138153;0.6483377810877347
BOOKKEEPER;1;0.61178863;0.33222592;0.6806283;IBK;UNDERSAMPLING;Yes;43.0;24.0;106.0;18.0;0.6417910447761194;0.7049180327868853;0.758953341740227;0.5070664864200566
BOOKKEEPER;1;0.61178863;0.33222592;0.6806283;RandomForest;UNDERSAMPLING;Yes;67.0;26.0;234.0;55.0;0.7204301075268817;0.5491803278688525;0.8109867591424968;0.47942393754836976
BOOKKEEPER;1;0.61178863;0.33222592;0.6806283;NaiveBayes;UNDERSAMPLING;Yes;124.0;42.0;348.0;59.0;0.7469879518072289;0.6775956284153005;0.8496006725514922;0.5843084017497361
BOOKKEEPER;1;0.61178863;0.33222592;0.6806283;IBK;SMOTE;Yes;44.0;12.0;118.0;17.0;0.7857142857142857;0.7213114754098361;0.8117276166456494;0.6429906542056075
BOOKKEEPER;1;0.61178863;0.33222592;0.6806283;RandomForest;SMOTE;Yes;76.0;15.0;245.0;46.0;0.8351648351648352;0.6229508196721312;0.8618379571248423;0.606132314661438
BOOKKEEPER;1;0.61178863;0.33222592;0.6806283;NaiveBayes;SMOTE;Yes;117.0;29.0;361.0;66.0;0.8013698630136986;0.639344262295082;0.9003082527672691;0.5970195660381549
BOOKKEEPER;1;0.61178863;0.33222592;0.6806283;IBK;NO SAMPLING;No;46.0;13.0;117.0;15.0;0.7796610169491526;0.7540983606557377;0.8241488020176545;0.6598397150489759
BOOKKEEPER;1;0.61178863;0.33222592;0.6806283;RandomForest;NO SAMPLING;No;89.0;20.0;240.0;33.0;0.8165137614678899;0.7295081967213115;0.862468474148802;0.6715764202056905
BOOKKEEPER;1;0.61178863;0.33222592;0.6806283;NaiveBayes;NO SAMPLING;No;91.0;23.0;367.0;92.0;0.7982456140350878;0.4972677595628415;0.890444164214656;0.4870267871739182
BOOKKEEPER;1;0.61178863;0.33222592;0.6806283;IBK;OVERSAMPLING;No;50.0;29.0;101.0;11.0;0.6329113924050633;0.819672131147541;0.8154476670870113;0.5532686235528008
BOOKKEEPER;1;0.61178863;0.33222592;0.6806283;RandomForest;OVERSAMPLING;No;87.0;35.0;225.0;35.0;0.7131147540983607;0.7131147540983607;0.846374527112232;0.578499369482976
BOOKKEEPER;1;0.61178863;0.33222592;0.6806283;NaiveBayes;OVERSAMPLING;No;144.0;50.0;340.0;39.0;0.7422680412371134;0.7868852459016393;0.8702466022138153;0.6483377810877347
BOOKKEEPER;1;0.61178863;0.33222592;0.6806283;IBK;UNDERSAMPLING;No;43.0;24.0;106.0;18.0;0.6417910447761194;0.7049180327868853;0.758953341740227;0.5070664864200566
BOOKKEEPER;1;0.61178863;0.33222592;0.6806283;RandomForest;UNDERSAMPLING;No;67.0;26.0;234.0;55.0;0.7204301075268817;0.5491803278688525;0.8109867591424968;0.47942393754836976
BOOKKEEPER;1;0.61178863;0.33222592;0.6806283;NaiveBayes;UNDERSAMPLING;No;124.0;42.0;348.0;59.0;0.7469879518072289;0.6775956284153005;0.8496006725514922;0.5843084017497361
BOOKKEEPER;1;0.61178863;0.33222592;0.6806283;IBK;SMOTE;No;44.0;12.0;118.0;17.0;0.7857142857142857;0.7213114754098361;0.8117276166456494;0.6429906542056075
BOOKKEEPER;1;0.61178863;0.33222592;0.6806283;RandomForest;SMOTE;No;76.0;15.0;245.0;46.0;0.8351648351648352;0.6229508196721312;0.8618379571248423;0.606132314661438
BOOKKEEPER;1;0.61178863;0.33222592;0.6806283;NaiveBayes;SMOTE;No;117.0;29.0;361.0;66.0;0.8013698630136986;0.639344262295082;0.9003082527672691;0.5970195660381549
BOOKKEEPER;2;0.57814336;0.46747968;0.06128134;IBK;NO SAMPLING;Yes;253.0;9.0;13.0;84.0;0.9656488549618321;0.7507418397626113;0.6726463447531696;0.13174524744493288
BOOKKEEPER;2;0.57814336;0.46747968;0.06128134;RandomForest;NO SAMPLING;Yes;482.0;22.0;22.0;192.0;0.9563492063492064;0.7151335311572701;0.651706231454006;0.07667716270461236
BOOKKEEPER;2;0.57814336;0.46747968;0.06128134;NaiveBayes;NO SAMPLING;Yes;735.0;32.0;34.0;276.0;0.9582790091264668;0.7270029673590505;0.6839837544585319;0.0887724156118145
BOOKKEEPER;2;0.57814336;0.46747968;0.06128134;IBK;OVERSAMPLING;Yes;227.0;8.0;14.0;110.0;0.9659574468085106;0.6735905044510386;0.6910574588616132;0.09787469653733112
BOOKKEEPER;2;0.57814336;0.46747968;0.06128134;RandomForest;OVERSAMPLING;Yes;432.0;18.0;26.0;242.0;0.96;0.6409495548961425;0.6608612085244133;0.06861179851520734
BOOKKEEPER;2;0.57814336;0.46747968;0.06128134;NaiveBayes;OVERSAMPLING;Yes;444.0;18.0;48.0;567.0;0.961038961038961;0.4391691394658754;0.6714698917963013;0.03405406151256329
BOOKKEEPER;2;0.57814336;0.46747968;0.06128134;IBK;UNDERSAMPLING;Yes;233.0;8.0;14.0;104.0;0.966804979253112;0.6913946587537092;0.6654977070407337;0.1078370462412355
BOOKKEEPER;2;0.57814336;0.46747968;0.06128134;RandomForest;UNDERSAMPLING;Yes;443.0;19.0;25.0;231.0;0.9588744588744589;0.6572700296735905;0.6631878877798759;0.06933095524492942
BOOKKEEPER;2;0.57814336;0.46747968;0.06128134;NaiveBayes;UNDERSAMPLING;Yes;692.0;28.0;38.0;319.0;0.9611111111111111;0.6844708209693373;0.687767886580943;0.08502449522214643
BOOKKEEPER;2;0.57814336;0.46747968;0.06128134;IBK;SMOTE;Yes;234.0;8.0;14.0;103.0;0.9669421487603306;0.6943620178041543;0.6669813865659563;0.10957924608406144
BOOKKEEPER;2;0.57814336;0.46747968;0.06128134;RandomForest;SMOTE;Yes;489.0;23.0;21.0;185.0;0.955078125;0.7255192878338279;0.6379147558672781;0.07453585504300649
BOOKKEEPER;2;0.57814336;0.46747968;0.06128134;NaiveBayes;SMOTE;Yes;770.0;35.0;31.0;241.0;0.9565217391304348;0.76162215628091;0.6753439438899379;0.09408086016786431
BOOKKEEPER;2;0.57814336;0.46747968;0.06128134;IBK;NO SAMPLING;No;253.0;9.0;13.0;84.0;0.9656488549618321;0.7507418397626113;0.6726463447531696;0.13174524744493288
BOOKKEEPER;2;0.57814336;0.46747968;0.06128134;RandomForest;NO SAMPLING;No;482.0;22.0;22.0;192.0;0.9563492063492064;0.7151335311572701;0.651706231454006;0.07667716270461236
BOOKKEEPER;2;0.57814336;0.46747968;0.06128134;NaiveBayes;NO SAMPLING;No;735.0;32.0;34.0;276.0;0.9582790091264668;0.7270029673590505;0.6839837544585319;0.0887724156118145
BOOKKEEPER;2;0.57814336;0.46747968;0.06128134;IBK;OVERSAMPLING;No;227.0;8.0;14.0;110.0;0.9659574468085106;0.6735905044510386;0.6910574588616132;0.09787469653733112
BOOKKEEPER;2;0.57814336;0.46747968;0.06128134;RandomForest;OVERSAMPLING;No;432.0;18.0;26.0;242.0;0.96;0.6409495548961425;0.6608612085244133;0.06861179851520734
BOOKKEEPER;2;0.57814336;0.46747968;0.06128134;NaiveBayes;OVERSAMPLING;No;444.0;18.0;48.0;567.0;0.961038961038961;0.4391691394658754;0.6714698917963013;0.03405406151256329
BOOKKEEPER;2;0.57814336;0.46747968;0.06128134;IBK;UNDERSAMPLING;No;233.0;8.0;14.0;104.0;0.966804979253112;0.6913946587537092;0.6654977070407337;0.1078370462412355
BOOKKEEPER;2;0.57814336;0.46747968;0.06128134;RandomForest;UNDERSAMPLING;No;443.0;19.0;25.0;231.0;0.9588744588744589;0.6572700296735905;0.6631878877798759;0.06933095524492942
BOOKKEEPER;2;0.57814336;0.46747968;0.06128134;NaiveBayes;UNDERSAMPLING;No;692.0;28.0;38.0;319.0;0.9611111111111111;0.6844708209693373;0.687767886580943;0.08502449522214643
BOOKKEEPER;2;0.57814336;0.46747968;0.06128134;IBK;SMOTE;No;234.0;8.0;14.0;103.0;0.9669421487603306;0.6943620178041543;0.6669813865659563;0.10957924608406144
BOOKKEEPER;2;0.57814336;0.46747968;0.06128134;RandomForest;SMOTE;No;489.0;23.0;21.0;185.0;0.955078125;0.7255192878338279;0.6379147558672781;0.07453585504300649
BOOKKEEPER;2;0.57814336;0.46747968;0.06128134;NaiveBayes;SMOTE;No;770.0;35.0;31.0;241.0;0.9565217391304348;0.76162215628091;0.6753439438899379;0.09408086016786431
BOOKKEEPER;3;0.7715322;0.29612222;0.12301587;IBK;NO SAMPLING;Yes;214.0;25.0;6.0;7.0;0.895397489539749;0.9683257918552036;0.6064808057217924;0.21571678661738938
