@relation BOOKKEEPER
@attribute Size numeric
@attribute LocTouched numeric
@attribute LocAdded numeric
@attribute MaxLocAdded numeric
@attribute AvgLocAdded numeric
@attribute nAuth numeric
@attribute nFix numeric
@attribute nR numeric
@attribute ChgSetSize numeric
@attribute Buggy {Si, No}
@data
178,50,32,25,10.67,2,1,3,80,Si
990,7,3,1,1,2,1,3,31,Si
351,123,68,61,22.67,2,2,3,91,Si
528,957,752,404,376,2,0,2,20,No
547,770,668,547,167,2,0,4,40,No
153,829,39,39,19.5,2,5,2,20,Si
556,52,21,10,7,2,0,3,102,No
437,28,15,7,3.75,2,2,4,113,Si
245,36,16,12,5.33,2,0,3,102,No
315,36,16,16,16,1,1,1,8,Si
13,32,32,32,32,1,0,1,0,Si
1226,328,211,132,26.38,2,8,8,151,Si
35,77,66,45,33,1,0,2,32,No
183,191,101,69,33.67,2,0,3,42,No
818,311,277,270,69.25,2,1,4,112,Si
189,35,24,23,12,2,2,2,94,Si
154,17,7,6,3.5,2,1,2,94,Si
1100,419,378,153,63,2,5,6,66,Si
23,39,39,39,39,1,0,1,23,No
58,25,25,25,25,1,1,1,23,Si
408,42,34,26,8.5,2,3,4,54,Si
340,48,26,26,26,1,0,1,23,Si
86,14,7,6,3.5,2,0,2,34,No
207,14,7,5,2.33,2,0,3,105,No
61,10,5,3,1.67,2,0,3,105,No
742,5,3,3,3,1,0,1,23,No
510,7,3,2,1.5,2,1,2,25,Si
225,23,12,11,6,2,0,2,94,No
252,29,13,12,6.5,2,0,2,94,No
165,9,5,4,2.5,2,0,2,94,No
599,29,15,13,7.5,2,0,2,94,No
246,10,9,9,9,1,0,1,23,Si
1037,77,55,40,18.33,2,5,3,21,Si
183,20,16,12,5.33,2,2,3,82,Si
208,31,30,28,10,2,2,3,83,Si
167,79,51,51,51,1,2,1,0,Si
197,2,1,1,1,1,0,1,71,No
256,3,2,1,1,2,1,2,81,Si
443,3,2,1,1,2,1,2,81,Si
122,2,1,1,1,1,1,1,71,Si
231,2,1,1,1,1,1,1,71,Si
368,2,1,1,1,1,1,1,71,Si
291,70,62,33,12.4,2,2,5,107,Si
64,2,1,1,1,1,0,1,71,No
352,166,121,97,24.2,2,1,5,111,Si
856,2,1,1,1,1,3,1,71,Si
251,2,1,1,1,1,2,1,71,Si
59,2,1,1,1,1,0,1,71,No
401,2,1,1,1,1,1,1,71,Si
70,2,1,1,1,1,1,1,71,Si
372,41,32,31,16,2,1,2,80,Si
456,180,177,176,88.5,1,1,2,81,Si
600,13,12,11,6,1,1,2,81,Si
175,2,1,1,1,1,0,1,71,No
69,233,7,6,3.5,2,0,2,80,No
350,15,12,7,3,3,4,4,91,Si
341,7,4,3,2,2,2,2,80,Si
155,2,1,1,1,1,0,1,71,No
124,2,1,1,1,1,0,1,71,No
70,2,1,1,1,1,0,1,71,No
56,2,1,1,1,1,0,1,71,No
116,2,1,1,1,1,0,1,71,No
539,399,331,169,41.38,2,2,8,125,Si
132,2,1,1,1,1,0,1,71,No
333,14,13,8,4.33,1,1,3,91,Si
220,2,1,1,1,1,0,1,71,No
970,2,1,1,1,1,1,1,71,Si
209,2,1,1,1,1,1,1,71,Si
398,2,1,1,1,1,0,1,71,No
96,2,1,1,1,1,0,1,71,No
45,4,2,2,2,1,0,1,71,No
192,21,12,8,3,3,1,4,92,Si
375,2,1,1,1,1,0,1,71,No
440,2,1,1,1,1,0,1,71,No
319,2,1,1,1,1,0,1,71,No
79,3,2,1,1,2,0,2,81,Si
321,3,2,1,1,2,1,2,81,Si
307,2,1,1,1,1,1,1,71,Si
632,2,1,1,1,1,0,1,71,No
38,2,1,1,1,1,0,1,71,No
267,2,1,1,1,1,1,1,71,Si
266,2,1,1,1,1,0,1,71,No
401,2,1,1,1,1,0,1,71,Si
212,2,1,1,1,1,0,1,71,No
234,2,1,1,1,1,0,1,71,No
377,4,2,2,2,1,0,1,71,No
1050,12,8,6,4,2,0,2,80,No
77,2,1,1,1,1,0,1,71,No
97,2,1,1,1,1,0,1,71,No
148,3,2,1,1,1,0,2,78,No
96,2,1,1,1,1,0,1,71,No
63,83,83,83,83,1,0,1,12,No
49,34,18,18,18,1,0,1,12,No
10,31,31,31,31,1,0,1,12,No
32,10,0,0,0,1,0,1,12,No
202,151,106,106,106,1,0,1,12,No
51,73,73,73,73,1,0,1,12,No
842,397,313,273,78.25,2,2,4,32,Si
615,228,143,108,28.6,2,2,5,35,Si
840,277,208,98,52,1,6,4,19,Si
38,53,53,53,53,1,0,1,8,No
66,81,81,81,81,1,0,1,8,No
63,78,78,78,78,1,0,1,8,No
52,69,69,69,69,1,0,1,8,No
52,69,69,69,69,1,0,1,8,No
59,77,77,77,77,1,0,1,8,No
54,72,72,72,72,1,0,1,8,No
55,72,72,72,72,1,0,1,8,No
48,63,63,63,63,1,0,1,8,No
31,50,50,50,50,1,0,1,8,No
8,28,28,28,28,1,0,1,8,No
81,96,96,96,96,1,0,1,8,No
25,40,40,40,40,1,0,1,8,No
57,76,76,76,76,1,0,1,8,No
31,49,49,49,49,1,0,1,8,No
44,63,63,63,63,1,0,1,8,No
37,55,55,55,55,1,0,1,8,No
28,45,45,45,45,1,0,1,8,No
406,81,80,80,80,1,2,1,10,Si
288,64,44,20,14.67,1,3,3,19,Si
