@relation BOOKKEEPER
@attribute Size numeric
@attribute LocTouched numeric
@attribute LocAdded numeric
@attribute MaxLocAdded numeric
@attribute AvgLocAdded numeric
@attribute nAuth numeric
@attribute nFix numeric
@attribute nR numeric
@attribute ChgSetSize numeric
@attribute Buggy {Si, No}
@data
121,347,242,137,60.5,2,0,4,471,No
221,436,340,252,68,2,1,5,471,Si
523,545,545,545,545,1,0,1,206,No
62,81,81,81,81,1,0,1,206,No
141,168,168,168,168,1,0,1,206,No
462,487,487,487,487,1,0,1,206,No
102,124,124,124,124,1,0,1,206,No
513,536,536,536,536,1,0,1,206,No
110,133,133,133,133,1,0,1,206,No
129,151,151,151,151,1,0,1,206,No
125,147,147,147,147,1,0,1,206,No
111,126,126,126,126,1,0,1,206,No
227,249,249,249,249,1,0,1,206,No
380,410,410,410,410,1,0,1,206,No
182,204,204,204,204,1,0,1,206,No
34,50,50,50,50,1,0,1,206,No
163,184,184,184,184,1,0,1,206,No
37,61,61,61,61,1,0,1,206,No
145,167,167,167,167,1,0,1,206,No
58,80,80,80,80,1,0,1,206,No
60,83,83,83,83,1,0,1,206,No
525,547,547,547,547,1,0,1,206,No
178,198,198,198,198,1,0,1,206,No
118,140,140,140,140,1,0,1,206,No
156,178,178,178,178,1,0,1,206,No
51,67,67,67,67,1,0,1,206,No
114,138,138,138,138,1,0,1,206,No
145,170,170,170,170,1,0,1,206,No
65,87,87,87,87,1,0,1,206,No
63,85,85,85,85,1,0,1,206,No
156,178,178,178,178,1,0,1,206,No
51,75,75,75,75,1,0,1,206,No
187,209,209,209,209,1,0,1,206,No
35,57,57,57,57,1,0,1,206,No
502,521,521,521,521,1,0,1,206,No
553,573,573,573,573,1,0,1,206,No
136,148,148,148,148,1,0,1,206,No
154,173,173,173,173,1,0,1,206,No
123,147,147,147,147,1,0,1,206,No
741,763,763,763,763,1,0,1,206,No
193,209,209,209,209,1,0,1,206,No
35,54,54,54,54,1,0,1,206,No
20,38,38,38,38,1,0,1,206,No
68,98,98,98,98,1,0,1,206,No
22,38,38,38,38,1,0,1,206,No
74,94,94,94,94,1,0,1,206,No
232,256,256,256,256,1,0,1,206,No
157,176,176,176,176,1,0,1,206,No
213,232,232,232,232,1,0,1,206,No
281,305,305,305,305,1,0,1,206,No
696,720,720,720,720,1,0,1,206,No
379,400,400,400,400,1,0,1,206,No
51,74,74,74,74,1,0,1,206,No
157,178,178,178,178,1,0,1,206,No
141,163,163,163,163,1,0,1,206,No
66,88,88,88,88,1,0,1,206,No
93,117,117,117,117,1,0,1,206,No
41,60,60,60,60,1,0,1,206,No
28,64,56,48,18.67,2,0,3,403,No
44,71,67,63,33.5,2,0,2,376,No
218,277,257,237,128.5,2,0,2,376,No
117,145,139,133,46.33,2,0,3,403,Si
121,163,150,136,37.5,2,0,4,495,Si
161,185,181,176,60.33,2,0,3,468,Si
30,48,47,46,23.5,2,0,2,376,No
112,146,137,127,27.4,3,1,5,495,Si
133,155,152,148,50.67,2,0,3,468,No
35,60,59,58,29.5,2,0,2,376,No
125,155,152,149,76,2,1,2,376,Si
53,82,78,74,39,2,0,2,376,No
17,37,37,37,37,1,0,1,206,No
17,42,40,38,20,2,0,2,376,No
17,41,40,39,20,2,0,2,376,No
72,118,107,95,26.75,2,0,4,495,No
67,94,91,87,30.33,2,0,3,468,No
55,85,78,70,19.5,2,0,4,495,No
91,132,123,113,30.75,2,0,4,495,No
320,492,414,329,69,3,0,6,495,No
68,102,93,83,23.25,2,0,4,495,No
42,68,63,58,21,2,0,3,403,No
107,137,130,122,32.5,2,0,4,495,No
340,380,370,359,123.33,2,0,3,468,No
212,255,243,224,48.6,2,0,5,495,Si
567,704,645,585,161.25,2,0,4,495,Si
350,414,390,365,78,2,0,5,503,No
83,117,108,98,27,2,0,4,495,No
25,41,41,41,41,1,0,1,206,No
50,92,79,65,39.5,2,0,2,376,No
38,56,55,45,18.33,3,0,3,414,No
28,55,51,47,25.5,2,0,2,376,No
167,223,203,185,50.75,3,0,4,472,No
33,49,49,49,49,1,0,1,206,No
34,50,50,50,50,1,0,1,206,No
82,102,100,97,50,2,0,2,298,No
114,138,138,138,138,1,0,1,206,No
27,43,43,43,43,1,0,1,206,No
26,42,42,42,42,1,0,1,206,No
40,56,56,56,56,1,0,1,206,No
33,53,52,51,26,2,0,2,376,No
25,41,41,41,41,1,0,1,206,No
88,118,111,104,55.5,2,0,2,376,No
38,54,54,54,54,1,0,1,206,No
146,164,163,162,81.5,2,1,2,376,Si
137,157,155,153,77.5,2,0,2,376,No
27,43,43,43,43,1,0,1,206,No
25,43,42,41,21,2,0,2,376,No
89,207,156,104,52,2,0,3,468,Si
89,191,148,103,29.6,3,0,5,532,Si
76,160,126,91,31.5,3,0,4,484,Si
85,201,151,100,50.33,2,0,3,468,Si
29,45,45,45,45,1,0,1,206,No
273,291,290,289,145,2,4,2,376,Si
16,38,35,31,17.5,2,0,2,298,No
95,111,111,111,111,1,0,1,206,No
19,37,36,35,18,2,0,2,376,No
65,81,81,81,81,1,1,1,206,Si
11,27,27,27,27,1,0,1,206,No
12,28,28,28,28,1,0,1,206,No
13,31,30,29,15,2,0,2,376,Si
550,634,600,561,150,3,3,4,468,Si
48,96,80,64,40,2,0,2,376,No
13,31,30,29,15,2,0,2,376,No
48,66,65,64,32.5,2,0,2,376,No
21,43,40,37,20,2,0,2,376,No
52,90,79,68,39.5,2,0,2,376,Si
138,176,165,153,55,2,0,3,468,Si
56,74,73,72,36.5,2,0,2,376,Si
369,415,400,364,66.67,3,1,6,523,Si
60,80,78,76,39,2,0,2,376,No
143,167,163,158,54.33,2,0,3,468,Si
711,1043,890,736,296.67,2,2,3,468,Si
58,78,76,74,38,2,0,2,376,No
74,100,97,93,32.33,2,0,3,468,No
6,22,22,22,22,1,0,1,206,No
411,451,439,426,146.33,2,0,3,468,No
46,62,62,62,62,1,0,1,206,No
38,60,59,58,29.5,2,0,2,376,No
67,101,96,91,48,2,0,2,376,No
11,29,28,27,14,2,0,2,376,No
49,81,79,77,39.5,2,0,2,376,No
688,780,742,703,247.33,2,0,3,468,Si
47,71,67,63,33.5,2,0,2,376,No
21,37,37,37,37,1,0,1,206,No
37,66,65,64,32.5,2,0,2,376,No
108,130,127,124,63.5,2,0,2,376,No
144,174,167,159,41.75,2,0,4,495,No
20,46,41,36,20.5,2,0,2,376,No
42,62,60,57,30,2,0,2,298,No
46,62,62,62,62,1,0,1,206,No
114,154,142,129,35.5,2,0,4,495,No
58,78,76,73,38,2,0,2,298,No
67,89,86,82,28.67,2,0,3,468,Si
58,74,74,74,74,1,0,1,206,No
27,52,50,48,25,2,0,2,233,No
44,62,61,60,30.5,2,0,2,376,No
47,82,76,70,25.33,2,0,3,403,No
167,221,202,180,50.5,2,0,4,495,Si
37,53,53,53,53,1,0,1,206,No
436,492,472,450,118,2,0,4,468,Si
23,39,39,39,39,1,0,1,206,No
62,86,82,78,41,2,0,2,376,No
48,66,65,64,32.5,2,0,2,376,Si
15,33,32,31,16,2,0,2,376,No
38,65,61,57,30.5,2,0,2,376,No
86,118,111,104,55.5,2,0,2,376,Si
16,32,32,32,32,1,0,1,206,No
211,331,279,226,93,2,0,3,468,No
181,219,208,187,52,3,1,4,470,Si
51,87,81,75,40.5,2,1,2,376,Si
12,28,28,28,28,1,0,1,206,No
36,56,54,52,27,2,1,2,376,Si
410,583,506,428,168.67,2,1,3,468,Si
87,164,134,104,67,2,0,2,376,No
19,35,35,35,35,1,0,1,206,No
82,100,99,98,49.5,2,0,2,376,No
63,109,94,78,31.33,2,0,3,468,Si
42,62,60,57,30,2,0,2,376,No
221,812,406,231,101.5,3,0,4,385,No
155,578,289,171,72.25,3,0,4,385,No
35,51,51,51,51,1,0,1,206,No
41,57,57,57,57,1,0,1,206,No
214,270,250,230,83.33,2,0,3,403,Si
114,142,138,133,46,2,0,3,468,Si
201,238,230,221,57.5,2,0,4,495,Si
44,66,64,61,32,2,0,2,298,No
49,71,68,65,34,2,0,2,376,Si
100,116,116,116,116,1,0,1,206,No
150,188,177,166,88.5,2,0,2,376,No
677,769,731,692,243.67,2,0,3,403,Si
77,109,101,93,33.67,2,0,3,403,Si
244,292,276,260,92,2,0,3,403,No
154,170,170,170,170,1,0,1,206,No
132,204,186,126,23.25,3,1,8,533,Si
96,116,114,112,57,2,0,2,376,No
32,62,55,48,27.5,2,0,2,376,No
60,82,79,76,39.5,2,0,2,376,No
113,133,131,129,65.5,2,1,2,376,Si
37,53,53,53,53,1,0,1,206,No
290,316,311,305,103.67,2,0,3,468,No
38,54,54,54,54,1,0,1,206,No
252,286,277,268,138.5,2,0,2,376,No
36,54,53,52,26.5,2,0,2,376,No
190,240,223,206,111.5,2,0,2,376,No
48,68,66,64,33,2,1,2,376,Si
